cell_id,elevation,corine_landuse,temperature,precipitation,population,soil_class
N15536516,43.03040843107262,311,-51.0,608.0,0.5703850388526917,14.0
N15536508,39.37781983978894,312,-51.0,607.0,1.2064244747161863,0.0
N15536513,42.547648137929485,311,-51.0,607.0,0.1779477447271347,14.0
N15536531,40.74654886673908,313,-51.0,614.0,0.4926930665969848,14.0
N15536532,44.35973210237464,313,-51.0,620.0,0.5729774236679077,8.0
N15536505,39.36908823130082,313,-51.0,611.0,0.1070807203650474,14.0
N15536507,34.81169451499472,243,-51.0,605.0,0.6138498783111572,0.0
N15536517,48.163295901551535,243,-52.0,597.0,1.7126481533050537,0.0
N15536514,45.21960285731724,243,-52.0,601.0,0.677405595779419,4.0
N15536540,43.98655521626375,243,-51.0,599.0,0.6246718764305115,0.0
N15536257,44.17636513223454,211,-51.0,578.0,0.4789758324623108,1.0
N15536254,41.40231665786432,211,-51.0,581.0,0.9021244645118712,0.0
N15536258,46.47821410821409,231,-51.0,573.0,0.5798658132553101,1.0
N15536255,44.24670495792311,211,-51.0,571.0,2.3065168857574463,1.0
N15536280,38.74587584515008,311,-51.0,591.0,0.2501850724220276,7.0
N15536256,39.89029685818419,311,-51.0,589.0,0.4791781604290008,7.0
N15536281,42.34905585464166,211,-51.0,587.0,0.1333629488945007,4.0
N15536251,51.219966265620016,243,-52.0,587.0,1.1940890550613403,1.0
N15536248,47.8376414240623,211,-51.0,609.0,1.6219778060913086,6.0
N15537036,65.01946328610791,211,-52.0,596.0,2.329142570495605,1.0
N15537033,57.28948079323282,231,-52.0,594.0,2.932370185852051,1.0
N15537037,77.71909534687899,211,-53.0,638.0,2.6050848960876465,0.0
N15537034,72.14432860393913,231,-53.0,617.0,2.6781020164489746,0.0
N15537030,49.68356136399873,231,-51.0,581.0,1.732019066810608,0.0
N15536252,71.52676952128508,211,-52.0,603.0,1.2496298551559448,1.0
N15482088,62.48602100294463,312,-52.0,660.0,0.0167734827846288,1.0
N15482085,56.05417165950853,312,-51.0,656.0,0.283428281545639,1.0
N15482166,56.06833960085499,231,-51.0,656.0,0.0115961087867617,1.0
N15482163,60.62992648689114,312,-52.0,656.0,0.0085361720994114,1.0
N15482321,60.72016065947864,243,-52.0,651.0,2.344627141952514,1.0
N15482322,60.4204125696299,312,-51.0,655.0,1.1786541938781738,1.0
N15482324,61.942361247782806,312,-52.0,645.0,0.8521087765693665,12.0
N15482084,54.89341471146564,242,-51.0,643.0,0.3198986947536468,1.0
N15482082,54.3409525034379,313,-52.0,656.0,0.0046694916673004,1.0
