cell_id,elevation,corine_landuse,temperature,precipitation,population,soil_class,token_id
5110226048117637120,30.88471268634407,313,-50.0,604.0,0.4834954142570496,0.0,46eb2b84
5110227113269526528,30.570639707604236,311,-50.0,602.0,0.5058050155639648,17.0,46eb2c7c
5110227147629264896,30.41757599188357,311,-50.0,607.0,0.44216543436050415,17.0,46eb2c84
5110225910678683648,30.988142908835894,311,-50.0,610.0,0.4538744688034058,0.0,46eb2b64
5110227663025340416,36.5532818229831,313,-51.0,621.0,0.5923550724983215,7.0,46eb2cfc
5110227525586386944,32.587096506235554,242,-50.0,599.0,0.3468343615531921,7.0,46eb2cdc
5110227559946125312,36.03678987464127,311,-51.0,612.0,0.4444395899772644,7.0,46eb2ce4
5110227010190311424,31.519757095648323,311,-50.0,606.0,1.7769405841827393,8.0,46eb2c64
5110227078909788160,32.98847007751465,312,-50.0,610.0,1.2600643634796145,9.0,46eb2c74
5110227044550049792,35.41021440467056,243,-50.0,607.0,3.5302762985229488,6.0,46eb2c6c
5110234225735368704,52.884245424854505,211,-51.0,627.0,1.3271549940109253,6.0,46eb32f4
5110233572900339712,53.2296604234345,211,-51.0,627.0,1.3271549940109253,4.0,46eb325c
5110234260095107072,55.98102172540159,211,-52.0,633.0,3.1737487316131587,6.0,46eb32fc
5110234191375630336,53.943637069390746,211,-52.0,626.0,2.8726837635040283,6.0,46eb32ec
5110234019576938496,54.560955514713214,211,-52.0,629.0,1.6390091180801392,6.0,46eb32c4
5110234157015891968,58.36158775796696,112,-52.0,626.0,10.66144847869873,6.0,46eb32e4
5110234122656153600,55.29784292104293,211,-51.0,619.0,6.3785462379455575,6.0,46eb32dc
5110233607260078080,52.518272088498485,211,-51.0,627.0,7.451497554779053,4.0,46eb3264
5110233675979554816,49.13703498061823,211,-51.0,625.0,23.34015655517578,4.0,46eb3274
5110233641619816448,54.3352215825295,211,-51.0,632.0,5.312369346618652,4.0,46eb326c
5110233779058769920,55.19979375722457,242,-51.0,628.0,0.9952171444892884,7.0,46eb328c
5110233813418508288,57.445943793471976,324,-51.0,634.0,1.017791509628296,0.0,46eb3294
5110235016009351168,54.44354255831971,211,-51.0,614.0,3.606983184814453,6.0,46eb33ac
5110233504180862976,51.830109498938725,211,-51.0,608.0,8.618417739868164,6.0,46eb324c
5110233538540601344,55.36891400084204,211,-51.0,623.0,8.605752944946289,6.0,46eb3254
5110235050369089536,53.8575162303691,211,-51.0,610.0,16.426946640014652,6.0,46eb33b4
5110234397534060544,59.32874562788982,211,-51.0,619.0,13.715073585510256,6.0,46eb331c
5110234294454845440,60.65199630114497,211,-52.0,625.0,65.33358001708984,4.0,46eb3304
5110233469821124608,51.17539067171057,211,-51.0,623.0,3.7471325397491455,4.0,46eb3244
5110233435461386240,49.4888689469318,211,-51.0,619.0,3.850550174713135,4.0,46eb323c
5085915605509341184,61.54802812848772,231,-52.0,651.0,1.0735359191894531,6.0,4694cd4c
5085915571149602816,65.33619487528897,231,-52.0,649.0,0.6156235933303833,4.0,4694cd44
5110233950857461760,59.282574089206,231,-52.0,646.0,0.527572512626648,6.0,46eb32b4
5085915502430126080,61.27130656339685,231,-52.0,650.0,1.9696590900421145,0.0,4694cd34
5085915536789864448,63.17374295604472,231,-52.0,656.0,1.2186602354049685,6.0,4694cd3c
5085915364991172608,66.13814279984454,231,-52.0,641.0,0.5373912453651428,6.0,4694cd14
5085915742948294656,65.1069085257394,312,-52.0,639.0,0.3526650071144104,7.0,4694cd6c
5110233916497723392,60.244919212497,312,-52.0,651.0,0.3302142024040222,1.0,46eb32ac
5110228040982462464,58.26391157812002,312,-52.0,642.0,0.4468027055263519,6.0,46eb2d54
5085915639869079552,60.49781028591857,312,-52.0,649.0,0.1816018968820572,7.0,4694cd54
5085915674228817920,57.25343766504405,231,-52.0,634.0,0.3019554018974304,7.0,4694cd5c
5110234088296415232,55.77134681234554,211,-52.0,632.0,4.1115097999572745,4.0,46eb32d4
5085915468070387712,61.04511136424786,211,-52.0,649.0,1.435280680656433,4.0,4694cd2c
5110234053936676864,54.007484980991904,211,-52.0,631.0,2.1614134311676025,6.0,46eb32cc
